year,qdistance,qtime,avg_delay
1992,1,1,3.7094527641483802
1992,2,2,3.8594181693504340
1992,3,3,4.5745758237538698
1992,4,4,3.6555178099608638
1992,5,5,4.7380304755057616
1992,6,6,4.1984866216076362
1992,7,7,4.1195190553213867
1992,8,8,3.9603899480413288
1992,9,9,5.1015005713239188
1992,10,10,4.9388759079999364
1992,11,11,5.3141836239346167
1992,12,12,5.7127382912222938
1992,13,13,4.9791287701265380
1992,14,14,6.2398871456864706
1992,15,15,5.4117418104406952
1992,16,16,5.5815117239626358
1992,17,17,5.5110229837556029
1992,18,18,6.0349406675397865
1992,19,19,5.1949366285433289
1992,20,20,4.9255415072829899
1993,1,1,3.9465262077701348
1993,2,2,4.5240249609984399
1993,3,3,4.8922311919956516
1993,4,4,4.1782005260591137
1993,5,5,5.1162087361116682
1993,6,6,4.1598581944920763
1993,7,7,3.7206408330830079
1993,8,8,4.6467405874985495
1993,9,9,5.3759501562612400
1993,10,10,4.8181581258094135
1993,11,11,5.7386435369040104
1993,12,12,6.2267005741886986
1993,13,13,5.5807458747719297
1993,14,14,7.2544887089388572
1993,15,15,6.2925275743368981
1993,16,16,5.7512108904333671
1993,17,17,6.3232778442012324
1993,18,18,6.4787812014737993
1993,19,19,6.3965052477111047
1993,20,20,5.3897888152202948
1994,1,1,4.4168743073186452
1994,1,2,3.9560439560439560
1994,1,3,7.7000000000000000
1994,1,4,9.0000000000000000
1994,1,5,16.0000000000000000
1994,1,7,19.0000000000000000
1994,1,9,49.0000000000000000
1994,1,12,
1994,1,13,
1994,1,16,6.0000000000000000
1994,1,17,
1994,1,20,
1994,2,1,1.3725490196078431
1994,2,2,5.2116810999158388
1994,2,3,2.2592592592592593
1994,2,4,2.1400000000000000
1994,2,5,5.3888888888888889
1994,2,6,13.8000000000000000
1994,2,7,22.0000000000000000
1994,2,8,16.0000000000000000
1994,2,10,33.0000000000000000
1994,2,11,
1994,2,12,
1994,2,13,
1994,2,14,
1994,2,17,
1994,2,19,
1994,2,20,
1994,3,1,16.8571428571428571
1994,3,2,3.0281690140845070
1994,3,3,5.5787994982410738
1994,3,4,3.6057142857142857
1994,3,5,3.6428571428571429
1994,3,6,6.3157894736842105
1994,3,7,8.7500000000000000
1994,3,8,29.0000000000000000
1994,3,9,26.0000000000000000
1994,3,11,
1994,3,17,
1994,3,18,
1994,3,20,
1994,4,2,4.4918032786885246
1994,4,3,2.4112554112554113
1994,4,4,5.6072002508525066
1994,4,5,5.4848484848484848
1994,4,6,8.7380952380952381
1994,4,7,15.2608695652173913
1994,4,8,14.3333333333333333
1994,4,9,18.5000000000000000
1994,4,10,21.6666666666666667
1994,4,18,
1994,4,20,
1994,5,2,9.0000000000000000
1994,5,3,-1.7166666666666667
1994,5,4,3.1695906432748538
1994,5,5,5.7104695962482828
1994,5,6,3.9512195121951220
1994,5,7,7.0363636363636364
1994,5,8,6.0714285714285714
1994,5,9,17.1111111111111111
1994,5,10,18.5000000000000000
1994,5,12,
1994,5,13,
1994,5,16,
1994,5,20,
1994,6,1,11.0000000000000000
1994,6,2,
1994,6,3,0.00000000000000000000
1994,6,4,4.2413793103448276
1994,6,5,3.2365591397849462
1994,6,6,4.7710208622215955
1994,6,7,5.8552631578947368
1994,6,8,6.3559322033898305
1994,6,9,14.8620689655172414
1994,6,10,23.1250000000000000
1994,6,11,23.0000000000000000
1994,6,12,18.0000000000000000
1994,6,13,62.0000000000000000
1994,6,16,
1994,6,17,
1994,6,20,
1994,7,1,
1994,7,2,0.00000000000000000000
1994,7,4,-4.5833333333333333
1994,7,5,1.5769230769230769
1994,7,6,2.2067307692307692
1994,7,7,4.4399369722308451
1994,7,8,6.9473684210526316
1994,7,9,6.3529411764705882
1994,7,10,16.8095238095238095
1994,7,11,15.3333333333333333
1994,7,12,28.0000000000000000
1994,7,20,
1994,8,1,
1994,8,2,109.0000000000000000
1994,8,3,
1994,8,4,15.0000000000000000
1994,8,5,2.9375000000000000
1994,8,6,-0.45918367346938775510
1994,8,7,3.8580246913580247
1994,8,8,5.5524819099052358
1994,8,9,4.0074074074074074
1994,8,10,5.5238095238095238
1994,8,11,11.6666666666666667
1994,8,12,
1994,8,13,
1994,8,15,
1994,8,16,73.0000000000000000
1994,8,17,
1994,8,19,
1994,8,20,
1994,9,5,-8.0000000000000000
1994,9,6,-4.3750000000000000
1994,9,7,4.5394736842105263
1994,9,8,1.7619047619047619
1994,9,9,5.2580598332515939
1994,9,10,4.7123287671232877
1994,9,11,5.4406779661016949
1994,9,12,28.0000000000000000
1994,9,13,26.4000000000000000
1994,9,17,
1994,9,20,
1994,10,1,2.0000000000000000
1994,10,5,
1994,10,6,8.0000000000000000
1994,10,7,-4.8750000000000000
1994,10,8,5.2021276595744681
1994,10,9,4.5274725274725275
1994,10,10,5.7149164710646646
1994,10,11,4.5962732919254658
1994,10,12,7.7638888888888889
1994,10,13,20.7894736842105263
1994,10,14,13.5000000000000000
1994,10,17,
1994,10,20,
1994,11,1,-7.0000000000000000
1994,11,2,
1994,11,8,21.5000000000000000
1994,11,9,0.25316455696202531646
1994,11,10,2.7989690721649485
1994,11,11,6.1401257910927366
1994,11,12,5.4285714285714286
1994,11,13,10.2173913043478261
1994,11,14,25.2142857142857143
1994,11,15,38.2500000000000000
1994,11,16,
1994,11,18,
1994,11,20,
1994,12,7,
1994,12,8,
1994,12,9,15.0000000000000000
1994,12,10,3.3505154639175258
1994,12,11,1.2500000000000000
1994,12,12,5.6681696281542587
1994,12,13,3.7712765957446809
1994,12,14,8.5490196078431373
1994,12,15,15.7857142857142857
1994,12,16,16.0000000000000000
1994,12,19,
1994,12,20,
1994,13,2,
1994,13,4,
1994,13,10,1.7272727272727273
1994,13,11,-0.70930232558139534884
1994,13,12,2.0750000000000000
1994,13,13,5.6911951211874491
1994,13,14,2.4716981132075472
1994,13,15,5.3333333333333333
1994,13,16,11.0000000000000000
1994,13,17,24.3333333333333333
1994,13,19,
1994,13,20,
1994,14,1,
1994,14,3,
1994,14,11,-6.6666666666666667
1994,14,12,-0.63000000000000000000
1994,14,13,-0.18589743589743589744
1994,14,14,6.4231150891702874
1994,14,15,5.1420454545454545
1994,14,16,5.8382352941176471
1994,14,17,26.0000000000000000
1994,14,20,
1994,15,9,
1994,15,12,-9.0000000000000000
1994,15,13,4.8172043010752688
1994,15,14,6.3350515463917526
1994,15,15,6.0168920770911483
1994,15,16,3.8713450292397661
1994,15,17,9.5064935064935065
1994,15,18,16.0000000000000000
1994,15,20,
1994,16,1,-18.0000000000000000
1994,16,3,
1994,16,6,
1994,16,8,
1994,16,9,
